"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
80,26/05/2016,2nd Round,Bacsinszky T.,Bouchard E.,9,47.0,3150,1170.0,2.0,0.0,1.5,2.5,1.5,2.4,1.53,2.38,1.53,2.69,2.83,1.42,1.57,2.75,1.5,2.56,2,1.0,1.0,1,1,1,1,2,1,1,1
81,26/05/2016,2nd Round,Ivanovic A.,Nara K.,16,91.0,2560,743.0,2.0,0.0,1.14,5.5,1.16,4.3,1.12,5.5,1.17,5.98,1.37,3.04,1.17,6.25,1.14,5.52,2,1.0,1.0,1,1,1,1,1,0,1,1
82,26/05/2016,2nd Round,Knapp K.,Sevastova A.,118,87.0,565,772.0,2.0,0.0,2.1,1.66,1.95,1.72,2.1,1.73,2.25,1.72,1.1,6.79,2.25,1.8,2.08,1.73,2,0.0,0.0,0,0,0,0,1,2,0,0
83,26/05/2016,2nd Round,Suarez Navarro C.,Wang Q.,14,74.0,2585,879.0,2.0,0.0,1.12,6.5,1.13,4.9,1.11,6.0,1.14,6.92,1.4,2.89,1.14,7.0,1.12,6.18,2,1.0,1.0,1,1,1,1,3,1,1,1
84,26/05/2016,2nd Round,Putintseva Y.,Petkovic A.,60,31.0,1025,1545.0,2.0,0.0,2.62,1.5,2.5,1.45,2.5,1.5,2.55,1.58,1.4,2.88,2.75,1.58,2.52,1.51,2,0.0,0.0,0,0,0,0,3,2,1,1
85,26/05/2016,2nd Round,Bertens K.,Giorgi C.,58,44.0,1051,1230.0,2.0,0.0,1.36,3.0,1.38,2.8,1.4,3.0,1.36,3.47,2.26,1.62,1.41,3.47,1.36,3.12,2,0.0,0.0,1,1,1,1,3,2,1,1
86,26/05/2016,2nd Round,Cibulkova D.,Konjuh A.,25,76.0,1951,844.0,2.0,1.0,1.22,3.75,1.25,3.5,1.25,4.0,1.22,4.89,1.73,2.08,1.29,4.89,1.24,3.99,3,1.0,1.0,1,1,1,1,1,0,1,1
87,26/05/2016,2nd Round,Parmentier P.,Falconi I.,88,63.0,757,1005.0,2.0,0.0,1.33,3.25,1.3,3.0,1.36,3.25,1.39,3.26,1.32,3.34,1.42,3.4,1.35,3.14,2,0.0,0.0,1,1,1,1,2,0,1,1
88,26/05/2016,2nd Round,Kasatkina D.,Razzano V.,32,184.0,1538,297.0,2.0,1.0,1.33,3.25,1.3,3.0,1.33,3.25,1.4,3.2,3.64,1.27,1.4,3.35,1.35,3.1,3,1.0,1.0,1,1,1,1,5,0,1,1
89,26/05/2016,2nd Round,Williams S.,Pereira T.,1,81.0,9030,808.0,2.0,0.0,1.01,21.0,1.01,12.0,1.02,17.0,1.03,20.5,1.15,5.3,1.03,27.25,1.02,17.59,2,1.0,1.0,1,1,1,1,4,0,1,1
90,26/05/2016,2nd Round,Cornet A.,Maria T.,50,111.0,1145,604.0,2.0,1.0,1.4,2.75,1.4,2.75,1.44,2.75,1.53,2.71,1.17,4.97,1.53,3.0,1.43,2.77,3,1.0,1.0,1,1,1,1,3,0,1,1
91,26/05/2016,2nd Round,Svitolina E.,Townsend T.,20,172.0,2416,311.0,2.0,0.0,1.36,3.0,1.35,2.9,1.36,3.25,1.38,3.31,1.07,8.07,1.42,3.4,1.36,3.1,2,1.0,1.0,1,1,1,1,6,0,1,1
92,26/05/2016,2nd Round,Keys M.,Duque-Marino M.,17,75.0,2482,863.0,2.0,0.0,1.25,3.75,1.25,3.4,1.25,3.75,1.28,4.1,1.4,2.89,1.29,4.1,1.26,3.79,2,1.0,1.0,1,1,1,1,5,1,1,1
93,26/05/2016,2nd Round,Williams V.,Chirico L.,11,78.0,2886,830.0,2.0,0.0,1.61,2.2,1.58,2.2,1.67,2.2,1.74,2.23,1.17,4.94,1.76,2.25,1.67,2.18,2,1.0,1.0,1,1,1,1,2,0,1,1
